measurement_id,sensor_id,timestamp,sensor_type,value,location_id
1,SM_2,2025-01-27 23:22:22.407841,Soil_Moisture,84.4,GH_2
2,PH_2,2025-01-27 23:22:24.408464,Soil_pH,4.0,GH_2
3,SM_2,2025-01-27 23:22:26.410095,Soil_Moisture,53.3,GH_2
4,T_1,2025-01-27 23:22:28.410814,Temperature,39.39,GH_1
5,PH_3,2025-01-27 23:22:30.411625,Soil_pH,3.3,GH_3
6,L_1,2025-01-27 23:22:32.412528,Light,858.0,GH_1
7,T_2,2025-01-27 23:22:34.413266,Temperature,29.36,GH_2
8,PH_2,2025-01-27 23:22:36.414838,Soil_pH,3.4,GH_2
9,PH_3,2025-01-27 23:22:38.415844,Soil_pH,5.5,GH_3
10,SM_3,2025-01-27 23:22:40.417001,Soil_Moisture,26.8,GH_3
11,SM_1,2025-01-27 23:22:42.419101,Soil_Moisture,71.2,GH_1
12,T_2,2025-01-27 23:22:44.420616,Temperature,30.07,GH_2
13,SM_2,2025-01-27 23:22:46.421972,Soil_Moisture,71.3,GH_2
14,T_2,2025-01-27 23:22:48.423038,Temperature,32.65,GH_2
15,SM_1,2025-01-27 23:22:50.423979,Soil_Moisture,67.3,GH_1
16,T_1,2025-01-27 23:22:52.425543,Temperature,23.63,GH_1
17,CO2_2,2025-01-27 23:22:54.426133,CO2,1772.0,GH_2
18,CO2_2,2025-01-27 23:22:56.427130,CO2,1560.0,GH_2
19,H_1,2025-01-27 23:22:58.428349,Humidity,98.5,GH_1
20,CO2_3,2025-01-27 23:23:00.429350,CO2,624.0,GH_3
21,PH_3,2025-01-27 23:23:02.430053,Soil_pH,4.4,GH_3
22,T_1,2025-01-27 23:23:04.431580,Temperature,31.2,GH_1
23,H_1,2025-01-27 23:23:06.449684,Humidity,50.8,GH_1
24,L_3,2025-01-27 23:23:08.451024,Light,1396.0,GH_3
25,H_2,2025-01-27 23:23:10.453181,Humidity,84.4,GH_2
26,T_3,2025-01-27 23:23:12.454051,Temperature,38.81,GH_3
27,L_1,2025-01-27 23:23:14.454782,Light,1393.0,GH_1
28,H_3,2025-01-27 23:23:16.456139,Humidity,67.0,GH_3
29,L_3,2025-01-27 23:23:18.458474,Light,319.0,GH_3
30,T_1,2025-01-27 23:23:20.459435,Temperature,27.57,GH_1
31,SM_2,2025-01-27 23:23:22.461435,Soil_Moisture,78.1,GH_2
32,T_2,2025-01-27 23:23:24.464499,Temperature,27.46,GH_2
33,PH_2,2025-01-27 23:23:26.466084,Soil_pH,6.2,GH_2
34,L_2,2025-01-27 23:23:28.467264,Light,774.0,GH_2
35,PH_2,2025-01-27 23:23:30.468563,Soil_pH,7.1,GH_2
36,CO2_3,2025-01-27 23:23:32.469862,CO2,1494.0,GH_3
37,H_1,2025-01-27 23:23:34.471963,Humidity,58.9,GH_1
38,H_1,2025-01-27 23:23:36.472534,Humidity,93.5,GH_1
39,SM_2,2025-01-27 23:23:38.473624,Soil_Moisture,59.4,GH_2
40,PH_3,2025-01-27 23:23:40.475294,Soil_pH,3.8,GH_3
41,PH_2,2025-01-27 23:23:42.476189,Soil_pH,7.1,GH_2
42,H_1,2025-01-27 23:23:44.477169,Humidity,62.4,GH_1
43,PH_2,2025-01-27 23:23:46.477978,Soil_pH,6.2,GH_2
44,SM_1,2025-01-27 23:23:48.479618,Soil_Moisture,94.0,GH_1
45,CO2_3,2025-01-27 23:23:50.480200,CO2,962.0,GH_3
46,L_3,2025-01-27 23:23:52.480825,Light,382.0,GH_3
47,CO2_1,2025-01-27 23:23:54.481581,CO2,1536.0,GH_1
48,L_1,2025-01-27 23:23:56.482776,Light,1287.0,GH_1
49,L_2,2025-01-27 23:23:58.484074,Light,176.0,GH_2
50,CO2_1,2025-01-27 23:24:00.485918,CO2,1361.0,GH_1
51,SM_2,2025-01-27 23:24:02.486731,Soil_Moisture,45.3,GH_2
52,H_1,2025-01-27 23:24:04.488238,Humidity,58.7,GH_1
53,SM_1,2025-01-27 23:24:06.488958,Soil_Moisture,49.4,GH_1
54,SM_3,2025-01-27 23:24:08.489493,Soil_Moisture,47.5,GH_3
55,SM_3,2025-01-27 23:24:10.490344,Soil_Moisture,36.8,GH_3
56,CO2_1,2025-01-27 23:24:12.491772,CO2,1602.0,GH_1
57,SM_3,2025-01-27 23:24:14.492522,Soil_Moisture,47.5,GH_3
58,H_2,2025-01-27 23:24:16.493221,Humidity,58.3,GH_2
59,SM_2,2025-01-27 23:24:18.494002,Soil_Moisture,53.4,GH_2
60,CO2_1,2025-01-27 23:24:20.495750,CO2,1650.0,GH_1
61,SM_3,2025-01-27 23:24:22.496240,Soil_Moisture,62.7,GH_3
62,CO2_1,2025-01-27 23:24:24.497634,CO2,1109.0,GH_1
63,PH_3,2025-01-27 23:24:26.498491,Soil_pH,4.2,GH_3
64,L_1,2025-01-27 23:24:28.499128,Light,1180.0,GH_1
65,SM_2,2025-01-27 23:24:30.500036,Soil_Moisture,26.0,GH_2
66,CO2_3,2025-01-27 23:24:32.500823,CO2,1178.0,GH_3
67,PH_3,2025-01-27 23:24:34.501579,Soil_pH,7.3,GH_3
68,H_2,2025-01-27 23:24:36.502406,Humidity,58.6,GH_2
69,SM_3,2025-01-27 23:24:38.503240,Soil_Moisture,69.6,GH_3
70,CO2_1,2025-01-27 23:24:40.504162,CO2,602.0,GH_1
